sensor,timestamp_s
camera_left,-0.00070
camera_left,0.03194
camera_left,0.06727
camera_left,0.09829
camera_left,0.13348
camera_left,0.16613
camera_left,0.19823
camera_left,0.23336
camera_left,0.26482
camera_left,0.29973
camera_left,0.33161
camera_left,0.36503
camera_left,0.39970
camera_left,0.43464
camera_left,0.46516
camera_left,0.49889
camera_left,0.53384
camera_left,0.56846
camera_left,0.60031
camera_left,0.63292
camera_left,0.66857
camera_left,0.69819
camera_left,0.73477
camera_left,0.76583
camera_left,0.79858
camera_left,0.83180
camera_left,0.86590
camera_left,0.90126
camera_left,0.93206
camera_left,0.96699
camera_left,1.00056
camera_left,1.03282
camera_left,1.06686
camera_left,1.09825
camera_left,1.13157
camera_left,1.16549
camera_left,1.20072
camera_left,1.23304
camera_left,1.26592
camera_left,1.30034
camera_left,1.33315
camera_left,1.36587
camera_left,1.40118
camera_left,1.43413
camera_left,1.46564
camera_left,1.50030
camera_left,1.53343
camera_left,1.56817
camera_left,1.60092
camera_left,1.63249
camera_left,1.66859
camera_left,1.69847
camera_left,1.73301
camera_left,1.76770
camera_left,1.79861
camera_left,1.83329
camera_left,1.86482
camera_left,1.90067
camera_left,1.93439
camera_left,1.96696
camera_left,2.00150
camera_left,2.03259
camera_left,2.06745
camera_left,2.10038
camera_left,2.13365
camera_left,2.16649
camera_left,2.20136
camera_left,2.23511
camera_left,2.26656
camera_left,2.30066
camera_left,2.33158
camera_left,2.36747
camera_left,2.40059
camera_left,2.43531
camera_left,2.46795
camera_left,2.49914
camera_left,2.53288
camera_left,2.56734
camera_left,2.59809
camera_left,2.63318
camera_left,2.66534
camera_left,2.69847
camera_left,2.73157
camera_left,2.76774
camera_left,2.79852
camera_left,2.83232
camera_left,2.86623
camera_left,2.90149
camera_left,2.93166
camera_left,2.96646
camera_left,3.00020
camera_left,3.03487
camera_left,3.06794
camera_left,3.10146
camera_left,3.13245
camera_left,3.16633
camera_left,3.19944
camera_left,3.23487
camera_left,3.26850
camera_left,3.29860
camera_left,3.33204
camera_left,3.36559
camera_left,3.39893
camera_left,3.43327
camera_left,3.46702
camera_left,3.49905
camera_left,3.53135
camera_left,3.56634
camera_left,3.59948
camera_left,3.63360
camera_left,3.66848
camera_left,3.70076
camera_left,3.73340
camera_left,3.76714
camera_left,3.80070
camera_left,3.83155
camera_left,3.86826
camera_left,3.90112
camera_left,3.93483
camera_left,3.96786
camera_left,3.99957
camera_left,4.03293
camera_left,4.06508
camera_left,4.10054
camera_left,4.13158
camera_left,4.16494
camera_left,4.19884
camera_left,4.23198
camera_left,4.26603
camera_left,4.29821
camera_left,4.33133
camera_left,4.36527
camera_left,4.39841
camera_left,4.43279
camera_left,4.46477
camera_left,4.50150
camera_left,4.53379
camera_left,4.56526
camera_left,4.59901
camera_left,4.63272
camera_left,4.66612
camera_left,4.69849
camera_left,4.73473
camera_left,4.76864
camera_left,4.79986
camera_left,4.83327
camera_left,4.86501
camera_left,4.89841
camera_left,4.93270
camera_left,4.96573
camera_right,0.00132
camera_right,0.03198
camera_right,0.06476
camera_right,0.10180
camera_right,0.13345
camera_right,0.16525
camera_right,0.20017
camera_right,0.23144
camera_right,0.26678
camera_right,0.30191
camera_right,0.33479
camera_right,0.36745
camera_right,0.39904
camera_right,0.43280
camera_right,0.46533
camera_right,0.50109
camera_right,0.53346
camera_right,0.56778
camera_right,0.59932
camera_right,0.63223
camera_right,0.66791
camera_right,0.70194
camera_right,0.73474
camera_right,0.76789
camera_right,0.80127
camera_right,0.83429
camera_right,0.86557
camera_right,0.90007
camera_right,0.93276
camera_right,0.96478
camera_right,0.99811
camera_right,1.03245
camera_right,1.06570
camera_right,1.10077
camera_right,1.13516
camera_right,1.16646
camera_right,1.20175
camera_right,1.23529
camera_right,1.26849
camera_right,1.29946
camera_right,1.33222
camera_right,1.36557
camera_right,1.39879
camera_right,1.43215
camera_right,1.46716
camera_right,1.50160
camera_right,1.53470
camera_right,1.56658
camera_right,1.60061
camera_right,1.63453
camera_right,1.66501
camera_right,1.70064
camera_right,1.73497
camera_right,1.76780
camera_right,1.80100
camera_right,1.83325
camera_right,1.86538
camera_right,1.90116
camera_right,1.93266
camera_right,1.96787
camera_right,2.00189
camera_right,2.03292
camera_right,2.06627
camera_right,2.10179
camera_right,2.13423
camera_right,2.16535
camera_right,2.19851
camera_right,2.23194
camera_right,2.26829
camera_right,2.30123
camera_right,2.33192
camera_right,2.36797
camera_right,2.40192
camera_right,2.43396
camera_right,2.46607
camera_right,2.50019
camera_right,2.53186
camera_right,2.56472
camera_right,2.60188
camera_right,2.63393
camera_right,2.66677
camera_right,2.70173
camera_right,2.73307
camera_right,2.76815
camera_right,2.80130
camera_right,2.83218
camera_right,2.86567
camera_right,2.89917
camera_right,2.93230
camera_right,2.96701
camera_right,2.99904
camera_right,3.03301
camera_right,3.06519
camera_right,3.10164
camera_right,3.13275
camera_right,3.16650
camera_right,3.20033
camera_right,3.23495
camera_right,3.26635
camera_right,3.30167
camera_right,3.33334
camera_right,3.36679
camera_right,3.40009
camera_right,3.43141
camera_right,3.46643
camera_right,3.49873
camera_right,3.53135
camera_right,3.56786
camera_right,3.59869
camera_right,3.63323
camera_right,3.66757
camera_right,3.70023
camera_right,3.73264
camera_right,3.76674
camera_right,3.80022
camera_right,3.83447
camera_right,3.86509
camera_right,3.90024
camera_right,3.93233
camera_right,3.96577
camera_right,4.00109
camera_right,4.03336
camera_right,4.06691
camera_right,4.10104
camera_right,4.13498
camera_right,4.16644
camera_right,4.20045
camera_right,4.23336
camera_right,4.26672
camera_right,4.30077
camera_right,4.33314
camera_right,4.36680
camera_right,4.39991
camera_right,4.43510
camera_right,4.46746
camera_right,4.50151
camera_right,4.53510
camera_right,4.56571
camera_right,4.60024
camera_right,4.63511
camera_right,4.66803
camera_right,4.69855
camera_right,4.73182
camera_right,4.76644
camera_right,4.79829
camera_right,4.83230
camera_right,4.86496
camera_right,4.90068
camera_right,4.93447
camera_right,4.96825
lidar,-0.00138
lidar,0.10086
lidar,0.20064
lidar,0.29857
lidar,0.40153
lidar,0.50187
lidar,0.59888
lidar,0.70181
lidar,0.79959
lidar,0.89995
lidar,1.00196
lidar,1.10133
lidar,1.19865
lidar,1.29973
lidar,1.40006
lidar,1.49936
lidar,1.59878
lidar,1.69927
lidar,1.80089
lidar,1.89808
lidar,2.00022
lidar,2.09976
lidar,2.19807
lidar,2.29933
lidar,2.40050
lidar,2.50005
lidar,2.59826
lidar,2.70194
lidar,2.80115
lidar,2.90189
lidar,2.99842
lidar,3.09906
lidar,3.19816
lidar,3.30112
lidar,3.39908
lidar,3.49852
lidar,3.59969
lidar,3.70165
lidar,3.80128
lidar,3.89903
lidar,3.99860
lidar,4.10168
lidar,4.20028
lidar,4.30080
lidar,4.39836
lidar,4.49823
lidar,4.60075
lidar,4.69970
lidar,4.79829
lidar,4.90175
imu,0.00054
imu,0.01121
imu,0.01833
imu,0.03142
imu,0.03827
imu,0.05145
imu,0.05982
imu,0.06936
imu,0.08021
imu,0.09171
imu,0.09907
imu,0.10852
imu,0.12011
imu,0.12895
imu,0.13844
imu,0.14865
imu,0.15820
imu,0.16881
imu,0.17925
imu,0.18922
imu,0.20104
imu,0.20916
imu,0.22000
imu,0.22871
imu,0.23939
imu,0.24807
imu,0.25900
imu,0.26806
imu,0.28093
imu,0.29020
imu,0.29876
imu,0.30990
imu,0.32174
imu,0.32843
imu,0.34128
imu,0.34973
imu,0.35998
imu,0.37134
imu,0.37957
imu,0.39003
imu,0.40075
imu,0.41193
imu,0.41937
imu,0.43133
imu,0.44083
imu,0.45054
imu,0.45962
imu,0.46939
imu,0.47822
imu,0.48852
imu,0.49828
imu,0.51096
imu,0.51902
imu,0.52865
imu,0.53834
imu,0.55137
imu,0.56148
imu,0.57068
imu,0.57913
imu,0.58897
imu,0.59917
imu,0.60984
imu,0.61863
imu,0.62978
imu,0.63905
imu,0.65185
imu,0.66189
imu,0.67019
imu,0.67898
imu,0.69186
imu,0.69924
imu,0.70943
imu,0.71800
imu,0.72953
imu,0.73990
imu,0.75001
imu,0.75880
imu,0.77002
imu,0.77802
imu,0.78906
imu,0.79836
imu,0.80960
imu,0.81817
imu,0.82809
imu,0.83922
imu,0.84893
imu,0.86034
imu,0.87012
imu,0.88100
imu,0.89063
imu,0.90086
imu,0.91152
imu,0.91956
imu,0.92930
imu,0.94194
imu,0.94860
imu,0.96090
imu,0.97057
imu,0.97818
imu,0.99134
imu,1.00157
imu,1.01051
imu,1.02094
imu,1.03125
imu,1.03856
imu,1.05010
imu,1.06002
imu,1.07134
imu,1.08122
imu,1.09131
imu,1.10034
imu,1.11157
imu,1.12073
imu,1.13077
imu,1.13892
imu,1.14812
imu,1.15853
imu,1.16944
imu,1.17842
imu,1.19134
imu,1.20023
imu,1.21051
imu,1.22050
imu,1.23072
imu,1.23996
imu,1.24801
imu,1.26119
imu,1.27099
imu,1.28001
imu,1.29014
imu,1.30064
imu,1.30826
imu,1.32095
imu,1.32901
imu,1.33830
imu,1.34906
imu,1.36092
imu,1.36882
imu,1.38096
imu,1.39190
imu,1.39998
imu,1.40953
imu,1.41992
imu,1.43073
imu,1.44107
imu,1.45047
imu,1.46057
imu,1.46831
imu,1.47859
imu,1.48902
imu,1.50097
imu,1.50922
imu,1.52027
imu,1.52805
imu,1.53824
imu,1.54908
imu,1.56069
imu,1.57077
imu,1.58070
imu,1.58916
imu,1.60007
imu,1.60986
imu,1.61987
imu,1.62847
imu,1.64157
imu,1.64880
imu,1.66191
imu,1.67175
imu,1.67807
imu,1.68984
imu,1.70128
imu,1.71187
imu,1.71980
imu,1.72907
imu,1.73884
imu,1.75178
imu,1.75884
imu,1.77033
imu,1.77857
imu,1.79010
imu,1.80181
imu,1.80853
imu,1.82128
imu,1.83003
imu,1.84155
imu,1.85081
imu,1.85893
imu,1.87159
imu,1.87994
imu,1.88810
imu,1.89801
imu,1.90997
imu,1.91980
imu,1.92921
imu,1.93856
imu,1.94938
imu,1.95926
imu,1.97136
imu,1.97801
imu,1.99100
imu,2.00136
imu,2.00848
imu,2.02171
imu,2.03085
imu,2.04161
imu,2.04916
imu,2.05949
imu,2.06957
imu,2.08200
imu,2.09036
imu,2.09944
imu,2.10971
imu,2.11910
imu,2.12819
imu,2.13841
imu,2.15134
imu,2.15914
imu,2.17174
imu,2.17900
imu,2.18906
imu,2.20004
imu,2.20876
imu,2.21949
imu,2.23182
imu,2.24154
imu,2.25125
imu,2.26052
imu,2.27165
imu,2.28176
imu,2.29020
imu,2.30088
imu,2.30820
imu,2.32093
imu,2.32980
imu,2.34101
imu,2.35058
imu,2.35914
imu,2.36820
imu,2.38171
imu,2.38851
imu,2.39989
imu,2.40937
imu,2.41919
imu,2.43096
imu,2.44191
imu,2.44904
imu,2.46062
imu,2.46920
imu,2.48023
imu,2.48958
imu,2.49867
imu,2.50865
imu,2.51883
imu,2.53162
imu,2.53999
imu,2.54888
imu,2.56163
imu,2.57199
imu,2.57980
imu,2.58856
imu,2.59877
imu,2.60836
imu,2.61937
imu,2.62836
imu,2.63896
imu,2.64903
imu,2.66028
imu,2.67155
imu,2.68100
imu,2.68965
imu,2.69966
imu,2.71010
imu,2.71951
imu,2.72935
imu,2.73825
imu,2.74911
imu,2.76187
imu,2.76850
imu,2.78001
imu,2.79052
imu,2.80145
imu,2.80886
imu,2.81908
imu,2.82899
imu,2.83960
imu,2.84978
imu,2.86182
imu,2.87139
imu,2.88149
imu,2.88809
imu,2.89813
imu,2.91084
imu,2.92158
imu,2.92989
imu,2.94035
imu,2.94800
imu,2.95957
imu,2.97171
imu,2.98130
imu,2.99142
imu,3.00189
imu,3.00899
imu,3.01844
imu,3.02862
imu,3.04009
imu,3.05073
imu,3.06177
imu,3.07089
imu,3.08059
imu,3.09106
imu,3.09983
imu,3.11021
imu,3.11816
imu,3.13113
imu,3.13893
imu,3.15168
imu,3.16058
imu,3.16922
imu,3.17851
imu,3.18901
imu,3.20055
imu,3.21079
imu,3.21845
imu,3.22828
imu,3.24010
imu,3.25033
imu,3.25955
imu,3.26889
imu,3.28040
imu,3.28804
imu,3.29921
imu,3.30984
imu,3.32184
imu,3.33058
imu,3.34154
imu,3.34990
imu,3.35894
imu,3.36899
imu,3.38184
imu,3.39082
imu,3.39923
imu,3.40809
imu,3.41999
imu,3.43070
imu,3.43968
imu,3.44903
imu,3.46067
imu,3.47170
imu,3.47891
imu,3.48814
imu,3.49935
imu,3.50968
imu,3.52073
imu,3.52879
imu,3.54119
imu,3.55096
imu,3.56002
imu,3.56882
imu,3.58188
imu,3.58925
imu,3.60128
imu,3.60892
imu,3.61889
imu,3.63104
imu,3.63918
imu,3.65181
imu,3.65998
imu,3.66875
imu,3.67889
imu,3.68967
imu,3.70066
imu,3.71180
imu,3.71859
imu,3.72957
imu,3.73885
imu,3.75190
imu,3.75857
imu,3.76821
imu,3.77824
imu,3.78957
imu,3.80159
imu,3.81153
imu,3.82093
imu,3.83199
imu,3.84173
imu,3.84932
imu,3.85874
imu,3.87174
imu,3.88099
imu,3.88813
imu,3.90066
imu,3.90951
imu,3.91950
imu,3.92933
imu,3.93868
imu,3.94801
imu,3.95912
imu,3.96941
imu,3.98182
imu,3.98849
imu,4.00186
imu,4.00883
imu,4.01943
imu,4.03129
imu,4.04129
imu,4.04973
imu,4.05820
imu,4.06989
imu,4.07949
imu,4.09168
imu,4.09877
imu,4.10946
imu,4.12159
imu,4.12812
imu,4.13964
imu,4.15125
imu,4.16107
imu,4.16816
imu,4.17814
imu,4.18825
imu,4.20168
imu,4.20903
imu,4.22099
imu,4.23159
imu,4.23936
imu,4.24909
imu,4.26183
imu,4.27047
imu,4.27905
imu,4.29087
imu,4.29927
imu,4.30910
imu,4.31802
imu,4.33102
imu,4.34167
imu,4.35054
imu,4.36177
imu,4.36810
imu,4.37894
imu,4.38990
imu,4.40183
imu,4.41182
imu,4.41955
imu,4.42900
imu,4.43972
imu,4.44997
imu,4.46171
imu,4.46873
imu,4.48121
imu,4.49095
imu,4.50129
imu,4.51109
imu,4.52043
imu,4.52931
imu,4.53928
imu,4.54945
imu,4.56113
imu,4.56832
imu,4.57879
imu,4.59101
imu,4.59899
imu,4.60826
imu,4.61814
imu,4.63021
imu,4.63930
imu,4.65192
imu,4.66153
imu,4.67195
imu,4.67906
imu,4.68834
imu,4.69839
imu,4.70999
imu,4.72084
imu,4.72979
imu,4.73894
imu,4.74967
imu,4.76048
imu,4.77070
imu,4.78099
imu,4.79139
imu,4.80066
imu,4.80848
imu,4.82136
imu,4.82918
imu,4.84027
imu,4.84949
imu,4.86095
imu,4.86880
imu,4.87899
imu,4.88898
imu,4.89861
imu,4.91154
imu,4.92031
imu,4.92931
imu,4.93958
imu,4.95197
imu,4.96003
imu,4.96893
imu,4.98123
imu,4.99061
